US1NYCY0004  42.6569  -76.4336  246.9 NY LOCKE 0.3 SW                                
US1NYCY0005  43.1420  -76.6889  122.2 NY DUCK LAKE                                   
US1NYCY0008  42.8287  -76.4867  320.0 NY AUBURN 8.3 SSE                              
US1NYCY0009  42.7031  -76.4202  230.1 NY MORAVIA 0.6 S                               
US1NYCY0010  43.2237  -76.6107  121.6 NY MARTVILLE 4.0 SSE                           
US1NYCY0013  42.7051  -76.3751  466.0 NY MORAVIA 2.5 ESE                             
US1NYCY0014  42.9752  -76.7072  143.9 NY CAYUGA 4.0 NNE                              
US1NYCY0021  43.0381  -76.6303  121.3 NY PORT BYRON 0.2 WNW                          
US1NYCY0024  42.6295  -76.4120  397.2 NY LOCKE 2.4 SSE                               
US1NYCY0026  42.7864  -76.7034  152.7 NY AURORA 2.4 N                                
US1NYCY0027  42.7349  -76.3114  532.2 NY MORAVIA 5.9 ENE                             
US1NYCY0030  42.8214  -76.5204  226.8 NY AUBURN 8.1 SSE                              
US1NYCY0031  42.7400  -76.5568  303.3 NY SCIPIO CENTER 3.0 S                         
US1NYDL0001  42.2519  -74.9874  518.2 NY DELHI 4.2 WSW                               
US1NYDL0003  42.4189  -74.6210  609.6 NY STAMFORD 0.7 NNW                            
US1NYDL0004  42.3667  -74.9500  562.1 NY DELHI 6.3 NNW                               
US1NYDL0005  42.3003  -74.9026  462.1 NY DELHI 1.5 NNE                               
US1NYDL0006  42.2608  -74.8195  534.0 NY DELHI 5.0 ESE                               
US1NYDL0008  42.1496  -74.6189  427.0 NY MARGARETVILLE 1.7 ENE                       
US1NYDL0009  42.1792  -74.9167  502.9 NY ANDES 6.8 W                                 
US1NYDL0011  42.4528  -75.1033  346.9 NY WEST END 1.2 SSW                            
US1NYDL0016  41.9511  -75.3024  277.4 NY HANCOCK 1.0 W                               
US1NYDL0017  41.9893  -75.1318  305.4 NY EAST BRANCH 0.2 S                           
US1NYDL0022  42.3442  -74.7317  457.2 NY SOUTH KORTRIGHT 0.8 W                       
US1NYDL0023  41.9351  -75.0784  532.2 NY LONG EDDY 6.5 NNE                           
US1NYDL0024  42.1653  -75.2585  380.7 NY WALTON 6.5 W                                
US1NYDL0025  42.3523  -74.5783  676.7 NY HOBART 4.8 ESE                              
US1NYDL0028  42.2378  -74.5234  760.8 NY FLEISCHMANNS 5.7 N                          
US1NYDL0031  42.1964  -74.9597  465.7 NY DELANCEY 0.9 SE                             
US1NYDL0032  42.3212  -75.0299  616.3 NY DELHI 6.6 WNW                               
US1NYDL0034  42.4638  -74.8515  492.9 NY SCHENEVUS 5.9 SSW                           
US1NYDT0001  41.6160  -73.8033   90.5 NY HILLSIDE LAKE 0.3 WNW                       
US1NYDT0002  41.6634  -73.8419  112.5 NY POUGHKEEPSIE 4.7 ESE                        
US1NYDT0004  41.5535  -73.7863   85.0 NY HOPEWELL JUNCTION 2.4 SSE                   
US1NYDT0005  41.5880  -73.8922   70.4 NY WAPPINGERS FALLS 1.6 ESE                    
US1NYDT0007  41.7887  -73.9356   55.5 NY HYDE PARK 1.5 W                             
US1NYDT0008  41.7523  -73.6488  312.1 NY MILLBROOK 3.2 SE                            
US1NYDT0009  41.9231  -73.9021   64.6 NY RHINEBECK 0.5 SE                            
US1NYDT0010  41.6470  -73.8970   72.5 NY POUGHKEEPSIE 3.9 SSE                        
US1NYDT0012  41.6846  -73.7205  197.5 NY LAGRANGEVILLE 3.4 NE                        
US1NYDT0016  41.5484  -73.8803  106.4 NY FISHKILL 1.2 NE                             
US1NYDT0017  42.0155  -73.7392  119.8 NY PINE PLAINS 4.9 WNW                         
US1NYDT0020  41.6074  -73.7532  122.8 NY HOPEWELL JUNCTION 2.9 ENE                   
US1NYDT0023  41.4970  -73.9559   70.7 NY BEACON 0.7 SE                               
US1NYDT0024  42.0097  -73.8642   65.8 NY RED HOOK 1.2 NNE                            
US1NYDT0027  41.6451  -73.8675   52.1 NY POUGHKEEPSIE 4.5 SE                         
US1NYDT0028  41.8755  -73.8373  170.7 NY RHINEBECK 5.2 SE                            
US1NYDT0029  41.6195  -73.9131   51.5 NY POUGHKEEPSIE 5.3 S                          
US1NYDT0032  41.8100  -73.6590  232.6 NY MILLBROOK 2.5 NE                            
US1NYDT0034  41.6102  -73.7586  103.6 NY HOPEWELL JUNCTION 2.8 NE                    
US1NYDT0035  41.7237  -73.8210  116.7 NY PLEASANT VALLEY 1.7 S                       
US1NYDT0037  41.9773  -73.9056   75.9 NY RHINEBECK 3.4 N                             
US1NYDT0038  41.7635  -73.8725  137.5 NY HYDE PARK 1.5 E                             
US1NYDT0039  41.6615  -73.9194   52.4 NY POUGHKEEPSIE 2.4 S                          
